Subject AB101128, Day 1, 28-Nov-2010 19:40:18
block	 trial	 cueEmo	 validity	 targLoc	 tilt	 contrast	 cueLoc	 cueID	 postCueLoc	 resp	 correct	 RT

 Start Time = 28-Nov-2010 19:44:56
1,     1,     Fear,      Inval,      targSW,     L,      0.068824,     cueSE,      3,           pcSW,           L,     1,     0.5708
1,     2,     Neut,      Inval,      targSW,     R,      0.39473,     cueNE,      5,           pcSW,           R,     1,     0.6247
1,     3,     Neut,      Inval,      targSE,     R,      0.068824,     cueNE,      4,           pcSE,           R,     1,     0.6807
1,     4,     Neut,      Valid,      targSW,     R,      0.39473,     cueSW,      6,           pcSW,           R,     1,     0.8407
1,     5,     Fear,      Distr,      targNE,     R,      0.22052,     cueDI,      8,           pcNE,           R,     1,     0.6062
1,     6,     Fear,      Valid,      targNE,     R,      0.22052,     cueNE,      6,           pcNE,           R,     1,     0.5950
1,     7,     Fear,      Valid,      targNE,     L,      0.012,     cueNE,      10,           pcNE,           L,     1,     0.4895
1,     8,     Fear,      Valid,      targNE,     L,      0.02148,     cueNE,      5,           pcNE,           R,     0,     0.4416
1,     9,     Neut,      Valid,      targNW,     R,      0.038449,     cueNW,      2,           pcNW,           L,     0,     0.3709
1,     10,     Neut,      Inval,      targNE,     L,      0.038449,     cueSE,      11,           pcNE,           R,     0,     0.5148
1,     11,     Fear,      Valid,      targNW,     R,      0.22052,     cueNW,      11,           pcNW,           R,     1,     0.5696
1,     12,     Fear,      Distr,      targNW,     R,      0.22052,     cueDI,      3,           pcNW,           R,     1,     0.5309
1,     13,     Neut,      Distr,      targSE,     L,      0.012,     cueDI,      6,           pcSE,           L,     1,     0.4977
1,     14,     Fear,      Distr,      targSW,     R,      0.012,     cueDI,      1,           pcSW,           R,     1,     0.4176
1,     15,     Neut,      Valid,      targNE,     L,      0.012,     cueNE,      10,           pcNE,           R,     0,     0.4194
1,     16,     Fear,      Valid,      targNW,     L,      0.038449,     cueNW,      3,           pcNW,           L,     1,     0.7296
1,     17,     Neut,      Inval,      targSE,     R,      0.39473,     cueSW,      8,           pcSE,           L,     0,     0.1635
1,     18,     Fear,      Valid,      targSE,     R,      0.012,     cueSE,      11,           pcSE,           L,     0,     0.4657
1,     19,     Fear,      Distr,      targSW,     R,      0.02148,     cueDI,      4,           pcSW,           L,     0,     0.5373
1,     20,     Neut,      Inval,      targSE,     L,      0.038449,     cueSW,      4,           pcSE,           L,     1,     0.5934
1,     21,     Fear,      Inval,      targSE,     R,      0.068824,     cueNW,      8,           pcSE,           L,     0,     0.6036
1,     22,     Neut,      Distr,      targSW,     R,      0.012,     cueDI,      3,           pcSW,           R,     1,     0.4020
1,     23,     Fear,      Valid,      targSE,     L,      0.22052,     cueSE,      10,           pcSE,           L,     1,     0.4100
1,     24,     Fear,      Valid,      targSE,     L,      0.1232,     cueSE,      9,           pcSE,           L,     1,     0.4274
1,     25,     Fear,      Distr,      targSW,     L,      0.038449,     cueDI,      11,           pcSW,           L,     1,     0.5379
1,     26,     Neut,      Distr,      targNE,     R,      0.068824,     cueDI,      4,           pcNE,           R,     1,     0.3960
1,     27,     Fear,      Inval,      targNE,     L,      0.02148,     cueNW,      8,           pcNE,           R,     0,     0.5876
1,     28,     Neut,      Distr,      targNE,     L,      0.068824,     cueDI,      8,           pcNE,           L,     1,     0.4674
1,     29,     Neut,      Inval,      targNW,     R,      0.1232,     cueSE,      5,           pcNW,           R,     1,     0.6197
1,     30,     Neut,      Inval,      targNW,     L,      0.02148,     cueNE,      10,           pcNW,           L,     1,     0.3315
1,     31,     Fear,      Distr,      targNW,     R,      0.012,     cueDI,      5,           pcNW,           L,     0,     0.2907
1,     32,     Fear,      Valid,      targSE,     L,      0.1232,     cueSE,      1,           pcSE,           L,     1,     0.3953
1,     33,     Fear,      Inval,      targSE,     R,      0.038449,     cueSW,      2,           pcSE,           R,     1,     0.5621
1,     34,     Neut,      Valid,      targNW,     L,      0.038449,     cueNW,      5,           pcNW,           L,     1,     0.9800
1,     35,     Fear,      Distr,      targNE,     R,      0.02148,     cueDI,      5,           pcNE,           L,     0,     0.5859
1,     36,     Fear,      Inval,      targSW,     R,      0.012,     cueNW,      6,           pcSW,           R,     1,     0.3555
1,     37,     Fear,      Inval,      targSW,     L,      0.39473,     cueNE,      2,           pcSW,           L,     1,     0.4824
1,     38,     Neut,      Distr,      targNW,     L,      0.02148,     cueDI,      4,           pcNW,           R,     0,     0.4919
1,     39,     Fear,      Distr,      targNW,     R,      0.02148,     cueDI,      3,           pcNW,           L,     0,     0.3066
1,     40,     Fear,      Distr,      targSE,     R,      0.012,     cueDI,      10,           pcSE,           R,     1,     0.4604
1,     41,     Neut,      Distr,      targSE,     L,      0.22052,     cueDI,      2,           pcSE,           L,     1,     0.4275
1,     42,     Neut,      Distr,      targNE,     L,      0.012,     cueDI,      2,           pcNE,           L,     1,     0.2521
1,     43,     Neut,      Distr,      targSE,     L,      0.038449,     cueDI,      10,           pcSE,           L,     1,     0.5166
1,     44,     Neut,      Inval,      targNW,     L,      0.39473,     cueSE,      5,           pcNW,           L,     1,     0.6197
1,     45,     Fear,      Inval,      targSE,     L,      0.012,     cueSW,      9,           pcSE,           R,     0,     0.2525
1,     46,     Neut,      Inval,      targSE,     L,      0.038449,     cueSW,      7,           pcSE,           L,     1,     0.5242
1,     47,     Neut,      Valid,      targSW,     L,      0.02148,     cueSW,      11,           pcSW,           R,     0,     0.4667
1,     48,     Fear,      Valid,      targNW,     L,      0.038449,     cueNW,      9,           pcNW,           L,     1,     0.3806
1,     49,     Neut,      Valid,      targSW,     L,      0.39473,     cueSW,      11,           pcSW,           L,     1,     0.3805
1,     50,     Fear,      Distr,      targSW,     R,      0.39473,     cueDI,      2,           pcSW,           L,     0,     0.4269
1,     51,     Fear,      Distr,      targSE,     R,      0.39473,     cueDI,      5,           pcSE,           R,     1,     0.5069
1,     52,     Neut,      Distr,      targSW,     R,      0.22052,     cueDI,      8,           pcSW,           R,     1,     0.5226
1,     53,     Neut,      Distr,      targSW,     L,      0.1232,     cueDI,      8,           pcSW,           L,     1,     0.4826
1,     54,     Neut,      Distr,      targNE,     L,      0.068824,     cueDI,      5,           pcNE,           L,     1,     0.5550
1,     55,     Fear,      Valid,      targSE,     R,      0.22052,     cueSE,      11,           pcSE,           R,     1,     0.4596
1,     56,     Fear,      Valid,      targSW,     R,      0.39473,     cueSW,      7,           pcSW,           R,     1,     0.4991
1,     57,     Fear,      Inval,      targNE,     L,      0.068824,     cueSW,      3,           pcNE,           L,     1,     0.4910
1,     58,     Neut,      Distr,      targSE,     L,      0.1232,     cueDI,      7,           pcSE,           L,     1,     0.3408
1,     59,     Neut,      Distr,      targNW,     R,      0.1232,     cueDI,      2,           pcNW,           R,     1,     0.5971
1,     60,     Neut,      Distr,      targSW,     R,      0.39473,     cueDI,      11,           pcSW,           R,     1,     0.4036
1,     61,     Fear,      Distr,      targSW,     L,      0.068824,     cueDI,      6,           pcSW,           L,     1,     0.4270
1,     62,     Fear,      Distr,      targSW,     L,      0.22052,     cueDI,      6,           pcSW,           L,     1,     0.3364
1,     63,     Neut,      Valid,      targNE,     R,      0.02148,     cueNE,      8,           pcNE,           L,     0,     0.5804
1,     64,     Neut,      Inval,      targSW,     L,      0.012,     cueSE,      3,           pcSW,           R,     0,     0.4445
1,     65,     Fear,      Inval,      targNW,     L,      0.038449,     cueNE,      9,           pcNW,           L,     1,     0.4375
1,     66,     Neut,      Distr,      targNE,     L,      0.02148,     cueDI,      8,           pcNE,           R,     0,     0.3873
1,     67,     Fear,      Inval,      targSW,     L,      0.39473,     cueNE,      6,           pcSW,           L,     1,     0.5002
1,     68,     Fear,      Valid,      targNW,     L,      0.02148,     cueNW,      8,           pcNW,           R,     0,     0.4996
1,     69,     Neut,      Inval,      targSW,     L,      0.012,     cueNW,      8,           pcSW,           L,     1,     0.2916
1,     70,     Neut,      Distr,      targNW,     L,      0.068824,     cueDI,      1,           pcNW,           R,     0,     0.5074
1,     71,     Fear,      Distr,      targNW,     R,      0.1232,     cueDI,      9,           pcNW,           R,     1,     0.4599
1,     72,     Fear,      Inval,      targNW,     L,      0.038449,     cueSE,      5,           pcNW,           R,     0,     0.5736
1,     73,     Neut,      Valid,      targSW,     L,      0.02148,     cueSW,      8,           pcSW,           L,     1,     0.2441
1,     74,     Fear,      Inval,      targNE,     R,      0.068824,     cueSE,      8,           pcNE,           R,     1,     0.7000
1,     75,     Neut,      Inval,      targNW,     L,      0.1232,     cueSW,      1,           pcNW,           R,     0,     0.5817
1,     76,     Fear,      Inval,      targNW,     R,      0.22052,     cueNE,      9,           pcNW,           R,     1,     0.4839
1,     77,     Fear,      Inval,      targNW,     R,      0.012,     cueSE,      6,           pcNW,           L,     0,     0.5099
1,     78,     Neut,      Distr,      targSE,     R,      0.012,     cueDI,      9,           pcSE,           L,     0,     0.4135
1,     79,     Fear,      Distr,      targSE,     R,      0.22052,     cueDI,      10,           pcSE,           R,     1,     0.5640
1,     80,     Fear,      Valid,      targNW,     R,      0.012,     cueNW,      8,           pcNW,           L,     0,     0.3961
1,     81,     Fear,      Inval,      targSE,     R,      0.22052,     cueNE,      6,           pcSE,           R,     1,     0.4361
1,     82,     Fear,      Valid,      targSE,     R,      0.22052,     cueSE,      7,           pcSE,           R,     1,     0.5171
1,     83,     Fear,      Distr,      targNE,     R,      0.068824,     cueDI,      5,           pcNE,           L,     0,     0.6058
1,     84,     Neut,      Valid,      targSE,     L,      0.1232,     cueSE,      1,           pcSE,           L,     1,     0.4372
1,     85,     Fear,      Inval,      targSE,     L,      0.1232,     cueNE,      7,           pcSE,           L,     1,     0.3720
1,     86,     Neut,      Distr,      targNE,     R,      0.22052,     cueDI,      7,           pcNE,           R,     1,     0.4456
1,     87,     Fear,      Valid,      targSE,     L,      0.068824,     cueSE,      3,           pcSE,           L,     1,     0.3338
1,     88,     Neut,      Distr,      targNW,     L,      0.02148,     cueDI,      8,           pcNW,           L,     1,     0.5255
1,     89,     Neut,      Inval,      targSW,     R,      0.1232,     cueNW,      3,           pcSW,           R,     1,     0.5178
1,     90,     Fear,      Inval,      targNW,     L,      0.39473,     cueNE,      6,           pcNW,           L,     1,     0.4623
1,     91,     Fear,      Valid,      targNE,     R,      0.39473,     cueNE,      7,           pcNE,           R,     1,     0.4286
1,     92,     Fear,      Inval,      targSW,     R,      0.012,     cueSE,      9,           pcSW,           L,     0,     0.4136
1,     93,     Neut,      Valid,      targNE,     L,      0.1232,     cueNE,      7,           pcNE,           L,     1,     0.4221
1,     94,     Fear,      Inval,      targSE,     L,      0.068824,     cueNE,      5,           pcSE,           L,     1,     0.3648
1,     95,     Neut,      Distr,      targNW,     R,      0.02148,     cueDI,      9,           pcNW,           R,     1,     0.4143
1,     96,     Fear,      Valid,      targNE,     R,      0.02148,     cueNE,      11,           pcNE,           L,     0,     0.3647
1,     97,     Fear,      Distr,      targSW,     L,      0.1232,     cueDI,      9,           pcSW,           L,     1,     0.4285
1,     98,     Fear,      Valid,      targNE,     R,      0.02148,     cueNE,      5,           pcNE,           R,     1,     0.5422
1,     99,     Neut,      Inval,      targSW,     R,      0.038449,     cueNE,      1,           pcSW,           R,     1,     0.4370
1,     100,     Neut,      Valid,      targNE,     R,      0.012,     cueNE,      11,           pcNE,           L,     0,     0.2537
1,     101,     Neut,      Distr,      targNE,     R,      0.012,     cueDI,      11,           pcNE,           L,     0,     0.3569
1,     102,     Neut,      Distr,      targNW,     L,      0.012,     cueDI,      3,           pcNW,           R,     0,     0.5747
1,     103,     Fear,      Distr,      targNW,     R,      0.1232,     cueDI,      11,           pcNW,           R,     1,     0.6047
1,     104,     Neut,      Inval,      targNW,     R,      0.038449,     cueSE,      3,           pcNW,           R,     1,     0.7652
1,     105,     Neut,      Valid,      targSW,     R,      0.068824,     cueSW,      11,           pcSW,           R,     1,     0.5335
1,     106,     Fear,      Valid,      targNE,     R,      0.1232,     cueNE,      9,           pcNE,           R,     1,     0.6230
1,     107,     Neut,      Valid,      targSW,     L,      0.22052,     cueSW,      7,           pcSW,           L,     1,     0.3571
1,     108,     Neut,      Valid,      targNW,     R,      0.22052,     cueNW,      5,           pcNW,           R,     1,     0.4447
1,     109,     Fear,      Inval,      targNE,     L,      0.22052,     cueSW,      8,           pcNE,           L,     1,     0.3988
1,     110,     Neut,      Distr,      targNW,     R,      0.39473,     cueDI,      7,           pcNW,           R,     1,     0.4610
1,     111,     Neut,      Valid,      targNW,     L,      0.22052,     cueNW,      5,           pcNW,           L,     1,     0.4776
1,     112,     Neut,      Inval,      targSW,     R,      0.068824,     cueNE,      3,           pcSW,           R,     1,     0.6210

Block 2 Start Time = 28-Nov-2010 19:51:23
2,     113,     Neut,      Valid,      targNW,     L,      0.39473,     cueNW,      7,           pcNW,           L,     1,     0.5404
2,     114,     Fear,      Distr,      targNW,     L,      0.068824,     cueDI,      11,           pcNW,           L,     1,     0.5979
2,     115,     Fear,      Valid,      targSE,     R,      0.39473,     cueSE,      3,           pcSE,           R,     1,     0.3254
2,     116,     Fear,      Valid,      targNE,     L,      0.1232,     cueNE,      11,           pcNE,           L,     1,     0.4923
2,     117,     Fear,      Valid,      targSW,     L,      0.1232,     cueSW,      7,           pcSW,           L,     1,     0.3735
2,     118,     Fear,      Distr,      targSE,     L,      0.22052,     cueDI,      10,           pcSE,           L,     1,     0.3962
2,     119,     Fear,      Distr,      targNE,     L,      0.02148,     cueDI,      2,           pcNE,           R,     0,     0.4216
2,     120,     Fear,      Distr,      targNE,     R,      0.012,     cueDI,      7,           pcNE,           R,     1,     0.3819
2,     121,     Fear,      Valid,      targSE,     L,      0.068824,     cueSE,      1,           pcSE,           L,     1,     0.4784
2,     122,     Neut,      Valid,      targSW,     R,      0.068824,     cueSW,      2,           pcSW,           R,     1,     0.5170
2,     123,     Neut,      Distr,      targSE,     R,      0.038449,     cueDI,      3,           pcSE,           R,     1,     0.5410
2,     124,     Neut,      Valid,      targNW,     L,      0.012,     cueNW,      3,           pcNW,           L,     1,     0.4778
