Subject AB101128, Day 2, 29-Nov-2010 16:32:37
block	 trial	 cueEmo	 validity	 targLoc	 tilt	 contrast	 cueLoc	 cueID	 postCueLoc	 resp	 correct	 RT

 Start Time = 29-Nov-2010 17:01:23
5,     449,     Fear,      Inval,      targNE,     R,      0.22052,     cueSW,      10,           pcNE,           R,     1,     0.5166
5,     450,     Fear,      Valid,      targSW,     L,      0.22052,     cueSW,      11,           pcSW,           L,     1,     0.4436
5,     451,     Neut,      Inval,      targNW,     L,      0.22052,     cueSW,      7,           pcNW,           R,     0,     0.6745
5,     452,     Fear,      Inval,      targSW,     R,      0.038449,     cueSE,      6,           pcSW,           L,     0,     0.2923
5,     453,     Neut,      Inval,      targSE,     L,      0.22052,     cueSW,      2,           pcSE,           L,     1,     0.3383
5,     454,     Neut,      Distr,      targSE,     R,      0.012,     cueDI,      10,           pcSE,           L,     0,     0.4426
5,     455,     Neut,      Valid,      targSE,     L,      0.22052,     cueSE,      9,           pcSE,           L,     1,     0.5077
5,     456,     Fear,      Distr,      targNW,     L,      0.068824,     cueDI,      2,           pcNW,           L,     1,     0.4829
5,     457,     Neut,      Valid,      targSE,     R,      0.22052,     cueSE,      1,           pcSE,           R,     1,     0.4586
5,     458,     Neut,      Valid,      targSE,     L,      0.1232,     cueSE,      1,           pcSE,           R,     0,     0.4605
5,     459,     Fear,      Inval,      targSE,     R,      0.012,     cueNE,      8,           pcSE,           L,     0,     0.3466
5,     460,     Fear,      Valid,      targSE,     R,      0.038449,     cueSE,      8,           pcSE,           R,     1,     0.4756
5,     461,     Fear,      Inval,      targNW,     R,      0.068824,     cueSE,      8,           pcNW,           L,     0,     0.7070
5,     462,     Fear,      Inval,      targSE,     R,      0.038449,     cueNE,      1,           pcSE,           R,     1,     0.5790
5,     463,     Fear,      Distr,      targNE,     L,      0.1232,     cueDI,      4,           pcNE,           L,     1,     0.5166
5,     464,     Fear,      Inval,      targSE,     R,      0.1232,     cueNW,      1,           pcSE,           R,     1,     0.3954
5,     465,     Fear,      Inval,      targSE,     R,      0.068824,     cueNW,      1,           pcSE,           L,     0,     0.3008
5,     466,     Neut,      Distr,      targNW,     L,      0.39473,     cueDI,      4,           pcNW,           L,     1,     0.4593
5,     467,     Fear,      Valid,      targSW,     L,      0.038449,     cueSW,      1,           pcSW,           R,     0,     0.3483
