Subject AB101128, 28-Nov-2010 19:13:51, Gabor Tilt = 4
trial	 cue	 validity	 targLoc	 tilt	 cueLoc	 contrast	 postCueLoc	 resp	 correct	 RT

 Start Time = 28-Nov-2010 19:16:28
    1,    Dot,      Distr,        targNE,       L,      cueDI,           0.065615,           pcNE,           L,        1,   0.7818
    2,    Dot,      Valid,        targSW,       R,      cueSW,           0.96833,           pcSW,           R,        1,   0.7890
    3,    Dot,      Valid,        targNE,       R,      cueNE,           0.023912,           pcNE,           L,        0,   0.7346
    4,    Dot,      Inval,        targSE,       L,      cueNW,           0.69167,           pcSE,           L,        1,   0.6606
    5,    Dot,      Inval,        targSW,       R,      cueNW,           0.01708,           pcSW,           R,        1,   0.6219
    6,    Dot,      Distr,        targSE,       R,      cueDI,           0.09186,           pcSE,           R,        1,   0.7729
    7,    Dot,      Inval,        targNW,       R,      cueSE,           0.25206,           pcNW,           R,        1,   0.7749
    8,    Dot,      Distr,        targSE,       L,      cueDI,           0.0122,           pcSE,           L,        1,   0.7408
    9,    Dot,      Valid,        targSE,       L,      cueSE,           0.69167,           pcSE,           L,        1,   0.5029
    10,    Dot,      Inval,        targSW,       R,      cueSE,           0.1286,           pcSW,           R,        1,   0.6373
    11,    Dot,      Valid,        targNW,       L,      cueNW,           0.046868,           pcNW,           R,        0,   0.6049
    12,    Dot,      Distr,        targSE,       L,      cueDI,           0.49405,           pcSE,           L,        1,   0.4534
    13,    Dot,      Valid,        targNE,       L,      cueNE,           0.033477,           pcNE,           R,        0,   0.7905
    14,    Dot,      Inval,        targNE,       R,      cueSW,           0.065615,           pcNE,           R,        1,   0.5670
    15,    Dot,      Valid,        targSE,       L,      cueSE,           0.033477,           pcSE,           L,        1,   0.6388
    16,    Dot,      Distr,        targSE,       L,      cueDI,           0.35289,           pcSE,           L,        1,   0.3671
    17,    Dot,      Valid,        targNE,       R,      cueNE,           0.0122,           pcNE,           R,        1,   0.5738
    18,    Dot,      Inval,        targSE,       L,      cueSW,           0.18005,           pcSE,           L,        1,   0.4218
    19,    Dot,      Valid,        targSW,       R,      cueSW,           0.25206,           pcSW,           R,        1,   0.5417
    20,    Dot,      Inval,        targSW,       L,      cueNE,           0.18005,           pcSW,           L,        1,   0.5812
    21,    Dot,      Distr,        targSE,       R,      cueDI,           0.49405,           pcSE,           R,        1,   0.3973
    22,    Dot,      Inval,        targNE,       R,      cueNW,           0.023912,           pcNE,           R,        1,   0.4696
    23,    Dot,      Distr,        targNE,       L,      cueDI,           0.033477,           pcNE,           R,        0,   0.4632
    24,    Dot,      Valid,        targNE,       R,      cueNE,           0.35289,           pcNE,           R,        1,   0.4621
    25,    Dot,      Inval,        targSE,       L,      cueNW,           0.065615,           pcSE,           L,        1,   0.3978
    26,    Dot,      Distr,        targNE,       L,      cueDI,           0.1286,           pcNE,           L,        1,   0.4706
    27,    Dot,      Inval,        targNW,       L,      cueNE,           0.18005,           pcNW,           L,        1,   0.5110
    28,    Dot,      Valid,        targSW,       L,      cueSW,           0.01708,           pcSW,           R,        0,   0.4228
    29,    Dot,      Inval,        targSW,       R,      cueNW,           0.046868,           pcSW,           R,        1,   0.5105
    30,    Dot,      Inval,        targNE,       L,      cueSW,           0.69167,           pcNE,           L,        1,   0.4318
    31,    Dot,      Distr,        targSE,       R,      cueDI,           0.69167,           pcSE,           R,        1,   0.5433
    32,    Dot,      Valid,        targNW,       L,      cueNW,           0.09186,           pcNW,           L,        1,   0.6712
    33,    Dot,      Inval,        targSW,       L,      cueSE,           0.96833,           pcSW,           L,        1,   0.5277
    34,    Dot,      Inval,        targSE,       R,      cueNW,           0.96833,           pcSE,           R,        1,   0.4869
    35,    Dot,      Distr,        targNE,       L,      cueDI,           0.046868,           pcNE,           R,        0,   0.6698
    36,    Dot,      Valid,        targNW,       L,      cueNW,           0.25206,           pcNW,           L,        1,   0.4641
    37,    Dot,      Distr,        targSW,       R,      cueDI,           0.69167,           pcSW,           R,        1,   0.5191
    38,    Dot,      Inval,        targNW,       R,      cueNE,           0.01708,           pcNW,           L,        0,   0.4884
    39,    Dot,      Inval,        targNE,       R,      cueSW,           0.25206,           pcNE,           R,        1,   0.6463
    40,    Dot,      Inval,        targNW,       R,      cueNE,           0.065615,           pcNW,           L,        0,   0.5682
    41,    Dot,      Distr,        targSW,       R,      cueDI,           0.065615,           pcSW,           L,        0,   0.6464
    42,    Dot,      Inval,        targNE,       R,      cueSE,           0.033477,           pcNE,           R,        1,   0.6406
    43,    Dot,      Valid,        targSE,       R,      cueSE,           0.35289,           pcSE,           R,        1,   0.7202
    44,    Dot,      Inval,        targNE,       R,      cueSW,           0.69167,           pcNE,           R,        1,   0.8066
    45,    Dot,      Inval,        targSE,       R,      cueNE,           0.065615,           pcSE,           L,        0,   0.3842
